Tabela 2.1 - Rendimento domiciliar per capita médio e mediano, por sexo e cor ou raça, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - Brasil - 2020;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita das pessoas (R$);;;;;;;;;;;;;;;;;;;;;
;Total;;Sexo;;;;Cor ou raça ;;;;;;;;Sexo e cor ou raça;;;;;;;
;;;Homem;;Mulher;;Branca;;Parda;;Preta;;Preta ou parda;;Homem branco;;Homem preto ou pardo;;Mulher branca;;Mulher preta ou parda;
;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano
Brasil;  1 668 ;  1 034 ;  1 708 ;  1 059 ;  1 630 ;  1 016 ;  2 280 ;  1 340 ;  1 185 ;   829 ;  1 215 ;   878 ;  1 190 ;   837 ;  2 328 ;  1 371 ;  1 237 ;   859 ;  2 235 ;  1 317 ;  1 144 ;   815 
Norte;  1 092 ;   715 ;  1 115 ;   733 ;  1 070 ;   698 ;  1 570 ;   925 ;   987 ;   671 ;  1 077 ;   740 ;   993 ;   675 ;  1 589 ;   950 ;  1 021 ;   687 ;  1 551 ;   914 ;   966 ;   666 
Rondônia;  1 352 ;   986 ;  1 376 ;  1 023 ;  1 330 ;   967 ;  1 628 ;  1 115 ;  1 232 ;   951 ;  1 231 ;   982 ;  1 232 ;   953 ;  1 609 ;  1 105 ;  1 280 ;   985 ;  1 645 ;  1 139 ;  1 184 ;   921 
Porto Velho;  1 401 ;   977 ;  1 410 ;   974 ;  1 392 ;   979 ;  1 875 ;  1 171 ;  1 240 ;   920 ;  1 430 ;  1 086 ;  1 256 ;   921 ;  1 928 ;  1 102 ;  1 276 ;   926 ;  1 834 ;  1 206 ;  1 236 ;   919 
Acre;  1 123 ;   707 ;  1 168 ;   738 ;  1 079 ;   680 ;  1 515 ;   883 ;  1 028 ;   672 ;  1 146 ;   707 ;  1 034 ;   673 ;  1 507 ;   860 ;  1 096 ;   716 ;  1 523 ;   897 ;   976 ;   665 
Rio Branco;  1 412 ;   861 ;  1 476 ;   891 ;  1 356 ;   846 ;  1 883 ;  1 061 ;  1 259 ;   786 ;  1 471 ;  1 167 ;  1 274 ;   801 ;  1 891 ;   998 ;  1 370 ;   853 ;  1 877 ;  1 108 ;  1 187 ;   769 
Amazonas;  1 009 ;   629 ;  1 032 ;   645 ;   986 ;   614 ;  1 752 ;   929 ;   893 ;   601 ;  1 445 ;   767 ;   907 ;   612 ;  1 822 ;   979 ;   929 ;   622 ;  1 682 ;   872 ;   885 ;   581 
Manaus;  1 336 ;   818 ;  1 398 ;   860 ;  1 277 ;   779 ;  2 039 ;  1 045 ;  1 158 ;   769 ;  1 710 ;   767 ;  1 177 ;   769 ;  2 126 ;  1 233 ;  1 231 ;   802 ;  1 953 ;  1 025 ;  1 126 ;   749 
