Tabela 2.1 - Rendimento domiciliar per capita médio e mediano, por sexo e cor ou raça, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - Brasil - 2021;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita das pessoas (R$);;;;;;;;;;;;;;;;;;;;;
;Total;;Sexo;;;;Cor ou raça ;;;;;;;;Sexo e cor ou raça;;;;;;;
;;;Homem;;Mulher;;Branca;;Parda;;Preta;;Preta ou parda;;Homem branco;;Homem preto ou pardo;;Mulher branca;;Mulher preta ou parda;
;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano
Brasil;  1 551 ;   927 ;  1 597 ;   951 ;  1 508 ;   903 ;  2 140 ;  1 265 ;  1 082 ;   717 ;  1 106 ;   779 ;  1 086 ;   728 ;  2 201 ;  1 281 ;  1 137 ;   758 ;  2 085 ;  1 253 ;  1 036 ;   703 
Norte;   984 ;   609 ;  1 012 ;   618 ;   956 ;   601 ;  1 462 ;   813 ;   878 ;   572 ;   892 ;   618 ;   880 ;   579 ;  1 486 ;   820 ;   913 ;   594 ;  1 440 ;   808 ;   845 ;   558 
Rondônia;  1 145 ;   825 ;  1 187 ;   854 ;  1 103 ;   792 ;  1 318 ;   981 ;  1 098 ;   783 ;   846 ;   646 ;  1 068 ;   765 ;  1 339 ;   984 ;  1 116 ;   819 ;  1 297 ;   971 ;  1 021 ;   729 
Porto Velho;  1 232 ;   771 ;  1 238 ;   806 ;  1 226 ;   752 ;  1 541 ;   968 ;  1 146 ;   734 ;  1 068 ;   822 ;  1 139 ;   736 ;  1 570 ;   929 ;  1 140 ;   765 ;  1 517 ;  1 015 ;  1 137 ;   706 
Acre;  1 011 ;   619 ;  1 025 ;   622 ;   998 ;   613 ;  1 478 ;   888 ;   918 ;   573 ;  1 058 ;   711 ;   928 ;   582 ;  1 515 ;   900 ;   939 ;   596 ;  1 443 ;   877 ;   917 ;   577 
Rio Branco;  1 193 ;   714 ;  1 205 ;   717 ;  1 180 ;   705 ;  1 611 ;   988 ;  1 098 ;   649 ;  1 071 ;   744 ;  1 096 ;   658 ;  1 643 ;   997 ;  1 092 ;   659 ;  1 576 ;   959 ;  1 099 ;   657 
Amazonas;   915 ;   535 ;   950 ;   552 ;   878 ;   511 ;  1 399 ;   786 ;   830 ;   501 ;   966 ;   588 ;   835 ;   503 ;  1 415 ;   786 ;   873 ;   520 ;  1 383 ;   785 ;   794 ;   481 
Manaus;  1 184 ;   724 ;  1 235 ;   763 ;  1 132 ;   683 ;  1 650 ;   985 ;  1 069 ;   667 ;  1 119 ;   651 ;  1 071 ;   667 ;  1 658 ;   980 ;  1 130 ;   704 ;  1 641 ;   992 ;  1 010 ;   629 
